text,label
Produk ini sangat bagus,positif
Saya sangat puas dengan layanan ini,positif
Kualitas barang sangat buruk,negatif
Pengiriman sangat lambat,negatif
Produk ini luar biasa,positif
Saya kecewa dengan produk ini,negatif
Pelayanan toko sangat ramah,positif
Barang tidak sesuai deskripsi,negatif
Harga sangat terjangkau,positif
Produk rusak saat diterima,negatif
Pengemasan rapi dan aman,positif
Respon penjual sangat lambat,negatif
Kualitas produk sangat memuaskan,positif
Barang cepat sampai,positif
Produk tidak berfungsi dengan baik,negatif
Saya sangat merekomendasikan produk ini,positif
Pengiriman sangat cepat,positif
Barang datang terlambat,negatif
Pelayanan sangat buruk,negatif
Produk ini berkualitas tinggi,positif
Saya tidak puas dengan produk ini,negatif
Toko memberikan pelayanan terbaik,positif
Barang cacat dan tidak layak pakai,negatif
Harga sesuai dengan kualitas,positif
Produk tidak seperti yang diharapkan,negatif
Pengalaman belanja sangat menyenangkan,positif
Penjual tidak responsif,negatif
Produk sangat awet dan tahan lama,positif
Barang cepat rusak,negatif
Pelayanan sangat memuaskan,positif
Saya kecewa dengan pelayanan toko,negatif
Produk sangat bagus dan berkualitas,positif
Pengiriman sangat lama,negatif
Barang sesuai dengan deskripsi,positif
Kualitas sangat jelek,negatif
Produk ini sangat membantu,positif
Saya tidak akan membeli lagi,negatif
Harga terlalu mahal untuk kualitas ini,negatif
Produk ini sangat direkomendasikan,positif
Pengemasan sangat buruk,negatif
Barang diterima dalam kondisi baik,positif
Pelayanan sangat cepat dan ramah,positif
Produk tidak sesuai ekspektasi,negatif
Saya sangat puas dengan produk ini,positif
Pengiriman tidak tepat waktu,negatif
Barang berkualitas bagus,positif
Produk ini mengecewakan,negatif
Saya sangat senang dengan pembelian ini,positif
Pelayanan tidak memuaskan,negatif
Produk sangat worth it,positif
produk ini sangat bagus,positif
saya sangat puas dengan layanan ini,positif
kualitas barang sangat buruk,negatif
pengiriman sangat lambat,negatif
produk ini luar biasa,positif
saya kecewa dengan produk ini,negatif
pelayanan toko sangat ramah,positif
barang tidak sesuai deskripsi,negatif
bahan kainnya sangat lembut dan nyaman,positif
harga murah tapi kualitas premium,positif
respon penjual sangat cepat dan membantu,positif
packing rapi dan aman sampai tujuan,positif
warnanya sangat cantik sesuai foto,positif
rekomendasi banget buat yang cari kado,positif
ukuran pas banget di badan saya,positif
jahitannya rapi tidak ada yang lepas,positif
pengiriman super cepat cuma sehari sampai,positif
adminnya ramah banget sumpah,positif
asli ini mah barangnya original,positif
kapok belanja di sini barang rusak,negatif
penjual tidak jujur barang bekas dikirim,negatif
ukuran kekecilan padahal sudah tanya admin,negatif
warna luntur pas pertama kali dicuci,negatif
pengiriman telat seminggu parah banget,negatif
bungkusnya sobek barangnya jadi lecet,negatif
kapasitas baterai tidak sesuai deskripsi,negatif
suaranya cempreng banget kecewa,negatif
tombolnya keras susah dipencet,negatif
bau plastiknya menyengat sekali,negatif
pelayanan buruk chat tidak dibalas,negatif
barangnya oke tapi kurirnya kurang ramah,positif
lumayanlah buat harga segini,positif
keren abis nggak nyesel beli di sini,positif
mantap jiwa barang berfungsi normal,positif
top banget deh pokoknya,positif
kualitas bintang lima harga kaki lima,positif
sangat terbantu dengan produk ini,positif
sudah langganan di sini selalu puas,positif
produk sangat membantu pekerjaan saya,positif
kemasan sangat elegan dan mewah,positif
tipu tipu gambarnya bagus aslinya jelek,negatif
nyesel beli banyak ternyata zonk,negatif
bahannya panas banget nggak enak dipakai,negatif
lemnya belepotan nggak rapi,negatif
layarnya pecah pas dibuka,negatif
isi paket kurang satu item,negatif
sudah bayar mahal tapi barang abal-abal,negatif
suara mesinnya berisik sekali,negatif
boros baterai padahal baru dipakai sebentar,negatif
tali tasnya gampang putus,negatif
kecewa banget barangnya tipis nerawang tidak sesuai sama yang ada di foto promosi kapok beli di sini,negatif
pengiriman lama banget udah seminggu lebih baru sampai padahal pake kurir yang kilat nyesel deh,negatif
packing hancur pas sampai rumah barangnya jadi penyok dan lecet penjual tidak amanah,negatif
barangnya kw ya kok beda banget sama yang ori suaranya cempreng banget kecewa berat,negatif
